kernel,shape_tag,M,N,K,dtype,BM,BN,BK,stages,warps,group_m,flatten,ws,num_sms,ms,tflops
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,4,8,0,0,0,0.022486857005528042,95.49950210792352
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,4,8,1,132,0,0.0030967843600128797,693.4559847722392
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,4,8,0,0,0,0.022284042911343678,96.36867315969961
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,4,8,1,132,1,1.719059205055237,1.2492202954295557
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,8,8,0,0,0,0.024013976919753797,89.42640592918572
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,8,8,1,132,0,0.0030967547483566516,693.4626157074921
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,8,8,0,0,0,0.02379905372377365,90.23399303707646
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,2,8,8,1,132,1,2.2018880248069763,0.975291942099669
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,4,8,0,0,0,0.022178545509549705,96.82707313134352
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,4,8,1,132,0,0.003117333371105983,688.8848231326973
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,4,8,0,0,0,0.021956425615923203,97.80661413498039
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,4,8,1,132,1,1.5211040178934734,1.411792765476998
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,8,8,0,0,0,0.023201438273941534,92.55821223858888
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,8,8,1,132,0,0.003091738376522733,694.5877647044855
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,8,8,0,0,0,0.023193118352723377,92.59141506290113
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,3,8,8,1,132,1,1.7167679786682128,1.2508875250958
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,4,8,0,0,0,0.02510274163960071,85.54777318076871
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,4,8,1,132,0,0.003110222251119989,690.4598689777531
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,4,8,0,0,0,0.025033391323750435,85.7847672425659
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,4,8,1,132,1,1.398314654827118,1.5357656737606789
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,8,8,0,0,0,0.026692517649601486,80.45264505171401
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,8,8,1,132,0,0.0031037009843390122,691.9106121485296
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,8,8,0,0,0,0.02645973339676857,81.16044163401375
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,4,8,8,1,132,1,1.8681663990020752,1.1495141167013434
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,4,8,0,0,0,0.028958457802613097,74.15738996315679
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,4,8,1,132,0,0.0030988679741913417,692.9897194346886
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,4,8,0,0,0,0.02866013486231311,74.92929319128403
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,4,8,1,132,1,1.4406560063362122,1.4906290179994794
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,8,8,0,0,0,0.030863199988380073,69.58071907023648
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,8,8,1,132,0,0.003124114312231541,687.3895873759056
ws,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,8,8,0,0,0,0.03085314953464201,69.60338508030756
persistent,"n,n,n//8",2048,2048,256,bf16,64,64,64,5,8,8,1,132,1,1.97598397731781,1.0867920350826845
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,4,8,0,0,0,0.01627389239447732,131.9588206647333
persistent,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,4,8,1,132,0,0.003103703751953112,691.9099951625931
ws,"n,n,n//8",2048,2048,256,bf16,64,128,64,2,4,8,0,0,0,0.016256969713728236,132.09618310271887
