M,N,K,BM,BN,BK,GROUP_M,WARPS,STAGES,CTAS,WS,itrs,wmp,ms,TFLOPs
32768,32768,4096,256,256,64,1,8,3,2,False,3,1,14.247200,617.39
32768,32768,4096,256,256,64,1,8,3,1,False,3,1,57.499273,152.98
32768,32768,4096,256,256,64,1,4,3,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,1,8,4,2,False,3,1,12.951115,679.18
32768,32768,4096,256,256,64,1,8,4,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,1,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,1,8,5,2,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,1,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,1,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,2,8,3,2,False,3,1,12.474496,705.13
32768,32768,4096,256,256,64,2,8,3,1,False,3,1,57.293406,153.53
32768,32768,4096,256,256,64,2,4,3,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,2,8,4,2,False,3,1,12.257771,717.59
32768,32768,4096,256,256,64,2,8,4,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,2,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,2,8,5,2,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,2,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,2,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,4,8,3,2,False,3,1,11.849951,742.29
32768,32768,4096,256,256,64,4,8,3,1,False,3,1,57.373728,153.31
32768,32768,4096,256,256,64,4,4,3,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,4,8,4,2,False,3,1,12.194122,721.34
32768,32768,4096,256,256,64,4,8,4,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,4,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,4,8,5,2,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,4,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,4,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,8,8,3,2,False,3,1,12.019286,731.83
32768,32768,4096,256,256,64,8,8,3,1,False,3,1,58.300863,150.87
32768,32768,4096,256,256,64,8,4,3,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,8,8,4,2,False,3,1,12.016182,732.02
32768,32768,4096,256,256,64,8,8,4,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,8,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,256,64,8,8,5,2,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,8,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,256,64,8,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,1,8,3,2,False,3,1,14.566859,603.84
32768,32768,4096,256,128,64,1,8,3,1,False,3,1,15.333377,573.66
32768,32768,4096,256,128,64,1,4,3,1,True,3,1,14.357034,612.67
32768,32768,4096,256,128,64,1,8,4,2,False,3,1,16.394442,536.53
32768,32768,4096,256,128,64,1,8,4,1,False,3,1,13.702208,641.95
32768,32768,4096,256,128,64,1,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,1,8,5,2,False,3,1,15.314624,574.36
32768,32768,4096,256,128,64,1,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,128,64,1,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,2,8,3,2,False,3,1,15.504181,567.34
32768,32768,4096,256,128,64,2,8,3,1,False,3,1,13.567019,648.34
32768,32768,4096,256,128,64,2,4,3,1,True,3,1,12.924320,680.58
32768,32768,4096,256,128,64,2,8,4,2,False,3,1,14.377120,611.81
32768,32768,4096,256,128,64,2,8,4,1,False,3,1,12.769505,688.84
32768,32768,4096,256,128,64,2,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,2,8,5,2,False,3,1,14.628363,601.30
32768,32768,4096,256,128,64,2,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,128,64,2,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,4,8,3,2,False,3,1,15.838731,555.35
32768,32768,4096,256,128,64,4,8,3,1,False,3,1,12.874655,683.21
32768,32768,4096,256,128,64,4,4,3,1,True,3,1,12.745024,690.16
32768,32768,4096,256,128,64,4,8,4,2,False,3,1,14.574464,603.53
32768,32768,4096,256,128,64,4,8,4,1,False,3,1,12.835893,685.27
32768,32768,4096,256,128,64,4,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,4,8,5,2,False,3,1,15.276833,575.78
32768,32768,4096,256,128,64,4,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,128,64,4,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,8,8,3,2,False,3,1,15.822240,555.93
32768,32768,4096,256,128,64,8,8,3,1,False,3,1,12.690102,693.15
32768,32768,4096,256,128,64,8,4,3,1,True,3,1,12.679381,693.73
32768,32768,4096,256,128,64,8,8,4,2,False,3,1,14.333664,613.67
32768,32768,4096,256,128,64,8,8,4,1,False,3,1,12.776811,688.44
32768,32768,4096,256,128,64,8,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,256,128,64,8,8,5,2,False,3,1,15.450869,569.29
32768,32768,4096,256,128,64,8,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,256,128,64,8,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,1,8,3,2,False,3,1,23.508469,374.17
32768,32768,4096,128,256,64,1,8,3,1,False,3,1,23.394529,375.99
32768,32768,4096,128,256,64,1,4,3,1,True,3,1,23.445206,375.18
32768,32768,4096,128,256,64,1,8,4,2,False,3,1,24.021111,366.18
32768,32768,4096,128,256,64,1,8,4,1,False,3,1,23.500801,374.29
32768,32768,4096,128,256,64,1,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,1,8,5,2,False,3,1,23.572299,373.15
32768,32768,4096,128,256,64,1,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,128,256,64,1,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,2,8,3,2,False,3,1,16.174240,543.83
32768,32768,4096,128,256,64,2,8,3,1,False,3,1,14.651040,600.37
32768,32768,4096,128,256,64,2,4,3,1,True,3,1,14.587936,602.97
32768,32768,4096,128,256,64,2,8,4,2,False,3,1,17.247317,510.00
32768,32768,4096,128,256,64,2,8,4,1,False,3,1,13.667690,643.57
32768,32768,4096,128,256,64,2,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,2,8,5,2,False,3,1,16.626635,529.04
32768,32768,4096,128,256,64,2,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,128,256,64,2,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,4,8,3,2,False,3,1,16.193142,543.20
32768,32768,4096,128,256,64,4,8,3,1,False,3,1,12.391819,709.83
32768,32768,4096,128,256,64,4,4,3,1,True,3,1,12.224586,719.54
32768,32768,4096,128,256,64,4,8,4,2,False,3,1,15.659307,561.72
32768,32768,4096,128,256,64,4,8,4,1,False,3,1,12.642624,695.75
32768,32768,4096,128,256,64,4,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,4,8,5,2,False,3,1,16.034304,548.58
32768,32768,4096,128,256,64,4,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,128,256,64,4,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,8,8,3,2,False,3,1,16.157152,544.41
32768,32768,4096,128,256,64,8,8,3,1,False,3,1,12.068789,728.83
32768,32768,4096,128,256,64,8,4,3,1,True,3,1,12.257814,717.59
32768,32768,4096,128,256,64,8,8,4,2,False,3,1,15.354987,572.85
32768,32768,4096,128,256,64,8,8,4,1,False,3,1,12.543062,701.27
32768,32768,4096,128,256,64,8,4,4,1,True,3,1,NaN,NaN
32768,32768,4096,128,256,64,8,8,5,2,False,3,1,16.117514,545.75
32768,32768,4096,128,256,64,8,8,5,1,False,3,1,NaN,NaN
32768,32768,4096,128,256,64,8,4,5,1,True,3,1,NaN,NaN
32768,32768,4096,128,128,64,1,8,3,2,False,3,1,24.168747,363.94
32768,32768,4096,128,128,64,1,8,3,1,False,3,1,23.532982,373.78
