M,N,K,BM,BN,BK,GROUP_M,WARPS,STAGES,CTAS,WS,ms,TFLOPs
32768,32768,4096,256,256,64,1,8,3,2,False,14.091488,624.21
32768,32768,4096,256,256,64,1,8,3,1,False,57.557247,152.82
32768,32768,4096,256,256,64,1,4,3,1,True,NaN,NaN
32768,32768,4096,256,256,64,1,8,4,2,False,13.022640,675.45
32768,32768,4096,256,256,64,1,8,4,1,False,NaN,NaN
32768,32768,4096,256,256,64,1,4,4,1,True,NaN,NaN
32768,32768,4096,256,256,64,1,8,5,2,False,NaN,NaN
32768,32768,4096,256,256,64,1,8,5,1,False,NaN,NaN
32768,32768,4096,256,256,64,1,4,5,1,True,NaN,NaN
32768,32768,4096,256,256,64,2,8,3,2,False,12.100432,726.92
32768,32768,4096,256,256,64,2,8,3,1,False,57.242607,153.66
32768,32768,4096,256,256,64,2,4,3,1,True,NaN,NaN
32768,32768,4096,256,256,64,2,8,4,2,False,12.219232,719.86
32768,32768,4096,256,256,64,2,8,4,1,False,NaN,NaN
32768,32768,4096,256,256,64,2,4,4,1,True,NaN,NaN
32768,32768,4096,256,256,64,2,8,5,2,False,NaN,NaN
32768,32768,4096,256,256,64,2,8,5,1,False,NaN,NaN
32768,32768,4096,256,256,64,2,4,5,1,True,NaN,NaN
32768,32768,4096,256,256,64,4,8,3,2,False,11.687104,752.63
32768,32768,4096,256,256,64,4,8,3,1,False,57.406178,153.23
32768,32768,4096,256,256,64,4,4,3,1,True,NaN,NaN
32768,32768,4096,256,256,64,4,8,4,2,False,11.790000,746.06
32768,32768,4096,256,256,64,4,8,4,1,False,NaN,NaN
32768,32768,4096,256,256,64,4,4,4,1,True,NaN,NaN
32768,32768,4096,256,256,64,4,8,5,2,False,NaN,NaN
32768,32768,4096,256,256,64,4,8,5,1,False,NaN,NaN
32768,32768,4096,256,256,64,4,4,5,1,True,NaN,NaN
32768,32768,4096,256,256,64,8,8,3,2,False,11.678224,753.20
32768,32768,4096,256,256,64,8,8,3,1,False,58.469536,150.44
32768,32768,4096,256,256,64,8,4,3,1,True,NaN,NaN
32768,32768,4096,256,256,64,8,8,4,2,False,11.754128,748.34
32768,32768,4096,256,256,64,8,8,4,1,False,NaN,NaN
32768,32768,4096,256,256,64,8,4,4,1,True,NaN,NaN
32768,32768,4096,256,256,64,8,8,5,2,False,NaN,NaN
32768,32768,4096,256,256,64,8,8,5,1,False,NaN,NaN
32768,32768,4096,256,256,64,8,4,5,1,True,NaN,NaN
32768,32768,4096,256,128,64,1,8,3,2,False,14.475216,607.67
32768,32768,4096,256,128,64,1,8,3,1,False,15.251728,576.73
32768,32768,4096,256,128,64,1,4,3,1,True,14.262208,616.74
32768,32768,4096,256,128,64,1,8,4,2,False,16.538704,531.85
32768,32768,4096,256,128,64,1,8,4,1,False,13.788208,637.94
32768,32768,4096,256,128,64,1,4,4,1,True,NaN,NaN
32768,32768,4096,256,128,64,1,8,5,2,False,15.269632,576.05
32768,32768,4096,256,128,64,1,8,5,1,False,NaN,NaN
32768,32768,4096,256,128,64,1,4,5,1,True,NaN,NaN
32768,32768,4096,256,128,64,2,8,3,2,False,15.550880,565.63
32768,32768,4096,256,128,64,2,8,3,1,False,13.379392,657.44
32768,32768,4096,256,128,64,2,4,3,1,True,12.903968,681.66
32768,32768,4096,256,128,64,2,8,4,2,False,14.449424,608.75
32768,32768,4096,256,128,64,2,8,4,1,False,12.787696,687.86
32768,32768,4096,256,128,64,2,4,4,1,True,NaN,NaN
32768,32768,4096,256,128,64,2,8,5,2,False,14.641216,600.78
32768,32768,4096,256,128,64,2,8,5,1,False,NaN,NaN
32768,32768,4096,256,128,64,2,4,5,1,True,NaN,NaN
32768,32768,4096,256,128,64,4,8,3,2,False,15.880368,553.90
32768,32768,4096,256,128,64,4,8,3,1,False,12.708144,692.16
32768,32768,4096,256,128,64,4,4,3,1,True,12.739584,690.45
32768,32768,4096,256,128,64,4,8,4,2,False,14.541184,604.91
32768,32768,4096,256,128,64,4,8,4,1,False,12.866176,683.66
32768,32768,4096,256,128,64,4,4,4,1,True,NaN,NaN
32768,32768,4096,256,128,64,4,8,5,2,False,15.280400,575.65
32768,32768,4096,256,128,64,4,8,5,1,False,NaN,NaN
32768,32768,4096,256,128,64,4,4,5,1,True,NaN,NaN
32768,32768,4096,256,128,64,8,8,3,2,False,15.860160,554.60
32768,32768,4096,256,128,64,8,8,3,1,False,12.615424,697.25
32768,32768,4096,256,128,64,8,4,3,1,True,12.633552,696.25
32768,32768,4096,256,128,64,8,8,4,2,False,14.381280,611.63
32768,32768,4096,256,128,64,8,8,4,1,False,12.813248,686.48
32768,32768,4096,256,128,64,8,4,4,1,True,NaN,NaN
32768,32768,4096,256,128,64,8,8,5,2,False,15.510592,567.10
32768,32768,4096,256,128,64,8,8,5,1,False,NaN,NaN
32768,32768,4096,256,128,64,8,4,5,1,True,NaN,NaN
32768,32768,4096,128,256,64,1,8,3,2,False,23.550367,373.50
32768,32768,4096,128,256,64,1,8,3,1,False,23.419088,375.60
32768,32768,4096,128,256,64,1,4,3,1,True,23.478975,374.64
32768,32768,4096,128,256,64,1,8,4,2,False,24.025616,366.11
32768,32768,4096,128,256,64,1,8,4,1,False,23.540176,373.66
32768,32768,4096,128,256,64,1,4,4,1,True,NaN,NaN
32768,32768,4096,128,256,64,1,8,5,2,False,23.610752,372.55
32768,32768,4096,128,256,64,1,8,5,1,False,NaN,NaN
32768,32768,4096,128,256,64,1,4,5,1,True,NaN,NaN
32768,32768,4096,128,256,64,2,8,3,2,False,16.174433,543.83
32768,32768,4096,128,256,64,2,8,3,1,False,14.627584,601.34
32768,32768,4096,128,256,64,2,4,3,1,True,14.358272,612.62
32768,32768,4096,128,256,64,2,8,4,2,False,17.175184,512.14
32768,32768,4096,128,256,64,2,8,4,1,False,13.681616,642.91
32768,32768,4096,128,256,64,2,4,4,1,True,NaN,NaN
32768,32768,4096,128,256,64,2,8,5,2,False,16.607344,529.65
32768,32768,4096,128,256,64,2,8,5,1,False,NaN,NaN
32768,32768,4096,128,256,64,2,4,5,1,True,NaN,NaN
32768,32768,4096,128,256,64,4,8,3,2,False,16.219280,542.32
32768,32768,4096,128,256,64,4,8,3,1,False,12.257872,717.59
32768,32768,4096,128,256,64,4,4,3,1,True,12.227936,719.34
32768,32768,4096,128,256,64,4,8,4,2,False,15.707536,559.99
32768,32768,4096,128,256,64,4,8,4,1,False,12.634976,696.17
32768,32768,4096,128,256,64,4,4,4,1,True,NaN,NaN
32768,32768,4096,128,256,64,4,8,5,2,False,16.136848,545.09
32768,32768,4096,128,256,64,4,8,5,1,False,NaN,NaN
32768,32768,4096,128,256,64,4,4,5,1,True,NaN,NaN
32768,32768,4096,128,256,64,8,8,3,2,False,16.183855,543.51
32768,32768,4096,128,256,64,8,8,3,1,False,11.864080,741.41
32768,32768,4096,128,256,64,8,4,3,1,True,12.032208,731.05
32768,32768,4096,128,256,64,8,8,4,2,False,15.345840,573.19
32768,32768,4096,128,256,64,8,8,4,1,False,12.534752,701.74
32768,32768,4096,128,256,64,8,4,4,1,True,NaN,NaN
32768,32768,4096,128,256,64,8,8,5,2,False,16.201664,542.91
32768,32768,4096,128,256,64,8,8,5,1,False,NaN,NaN
32768,32768,4096,128,256,64,8,4,5,1,True,NaN,NaN
32768,32768,4096,128,128,64,1,8,3,2,False,24.203392,363.42
32768,32768,4096,128,128,64,1,8,3,1,False,23.560961,373.33
