M,N,K,BM,BN,BK,GROUP_M,WARPS,STAGES,CTAS,WS,flatten,itrs,wmp,ms,TFLOPs
32768,32768,4096,256,256,64,1,8,3,2,False,False,5,3,14.026848,627.09
32768,32768,4096,256,256,64,1,8,3,2,False,True,5,3,13.819226,636.51
32768,32768,4096,256,256,64,2,8,3,2,False,False,5,3,12.341222,712.74
32768,32768,4096,256,256,64,2,8,3,2,False,True,5,3,12.670457,694.22
32768,32768,4096,256,256,64,4,8,3,2,False,False,5,3,11.993747,733.39
32768,32768,4096,256,256,64,4,8,3,2,False,True,5,3,12.424275,707.98
32768,32768,4096,256,256,64,8,8,3,2,False,False,5,3,12.258919,717.53
32768,32768,4096,256,256,64,8,8,3,2,False,True,5,3,11.874291,740.77
32768,32768,4096,256,128,64,1,8,3,2,False,False,5,3,18.525932,474.80
32768,32768,4096,256,128,64,1,8,3,1,False,False,5,3,15.544447,565.87
32768,32768,4096,256,128,64,1,4,3,1,True,False,5,3,14.297057,615.24
32768,32768,4096,256,128,64,1,8,3,2,False,True,5,3,18.731961,469.58
32768,32768,4096,256,128,64,1,8,3,1,False,True,5,3,15.360582,572.64
32768,32768,4096,256,128,64,1,4,3,1,True,True,5,3,56.055957,156.92
32768,32768,4096,256,128,64,1,8,4,2,False,False,5,3,15.852025,554.89
32768,32768,4096,256,128,64,1,8,4,2,False,True,5,3,15.653638,561.92
32768,32768,4096,256,128,64,1,8,5,2,False,False,5,3,14.772307,595.44
32768,32768,4096,256,128,64,1,8,5,2,False,True,5,3,14.950810,588.34
32768,32768,4096,256,128,64,2,8,3,2,False,False,5,3,16.612480,529.49
32768,32768,4096,256,128,64,2,8,3,1,False,False,5,3,13.241446,664.28
32768,32768,4096,256,128,64,2,4,3,1,True,False,5,3,12.987079,677.30
32768,32768,4096,256,128,64,2,8,3,2,False,True,5,3,16.609651,529.58
32768,32768,4096,256,128,64,2,8,3,1,False,True,5,3,13.251193,663.80
32768,32768,4096,256,128,64,2,4,3,1,True,True,5,3,56.055701,156.92
32768,32768,4096,256,128,64,2,8,4,2,False,False,5,3,14.246227,617.43
32768,32768,4096,256,128,64,2,8,4,2,False,True,5,3,14.420212,609.98
32768,32768,4096,256,128,64,2,8,5,2,False,False,5,3,14.211060,618.96
32768,32768,4096,256,128,64,2,8,5,2,False,True,5,3,14.918842,589.60
32768,32768,4096,256,128,64,4,8,3,2,False,False,5,3,16.968179,518.39
32768,32768,4096,256,128,64,4,8,3,1,False,False,5,3,12.690746,693.11
32768,32768,4096,256,128,64,4,4,3,1,True,False,5,3,12.797114,687.35
32768,32768,4096,256,128,64,4,8,3,2,False,True,5,3,16.670726,527.64
32768,32768,4096,256,128,64,4,8,3,1,False,True,5,3,12.354919,711.95
32768,32768,4096,256,128,64,4,4,3,1,True,True,5,3,57.461237,153.08
32768,32768,4096,256,128,64,4,8,4,2,False,False,5,3,14.883929,590.98
32768,32768,4096,256,128,64,4,8,4,2,False,True,5,3,14.699840,598.38
32768,32768,4096,256,128,64,4,8,5,2,False,False,5,3,14.644698,600.63
32768,32768,4096,256,128,64,4,8,5,2,False,True,5,3,14.875488,591.31
32768,32768,4096,256,128,64,8,8,3,2,False,False,5,3,15.652249,561.97
32768,32768,4096,256,128,64,8,8,3,1,False,False,5,3,12.407846,708.91
32768,32768,4096,256,128,64,8,4,3,1,True,False,5,3,12.874995,683.19
32768,32768,4096,256,128,64,8,8,3,2,False,True,5,3,15.548801,565.71
32768,32768,4096,256,128,64,8,8,3,1,False,True,5,3,11.954598,735.79
32768,32768,4096,256,128,64,8,4,3,1,True,True,5,3,58.883868,149.38
32768,32768,4096,256,128,64,8,8,4,2,False,False,5,3,14.812077,593.85
32768,32768,4096,256,128,64,8,8,4,2,False,True,5,3,14.567538,603.81
32768,32768,4096,256,128,64,8,8,5,2,False,False,5,3,15.681908,560.91
32768,32768,4096,256,128,64,8,8,5,2,False,True,5,3,15.333812,573.64
32768,32768,4096,128,256,64,1,8,3,2,False,False,5,3,23.824826,369.20
32768,32768,4096,128,256,64,1,8,3,1,False,False,5,3,19.219456,457.67
32768,32768,4096,128,256,64,1,4,3,1,True,False,5,3,15.815283,556.18
32768,32768,4096,128,256,64,1,8,3,2,False,True,5,3,23.523027,373.94
32768,32768,4096,128,256,64,1,8,3,1,False,True,5,3,18.761247,468.84
32768,32768,4096,128,256,64,1,4,3,1,True,True,5,3,107.780945,81.61
32768,32768,4096,128,256,64,1,8,4,2,False,False,5,3,20.030490,439.14
32768,32768,4096,128,256,64,1,8,4,2,False,True,5,3,19.070470,461.24
32768,32768,4096,128,256,64,1,8,5,2,False,False,5,3,23.273972,377.94
32768,32768,4096,128,256,64,1,8,5,2,False,True,5,3,24.841562,354.09
32768,32768,4096,128,256,64,2,8,3,2,False,False,5,3,18.098367,486.02
32768,32768,4096,128,256,64,2,8,3,1,False,False,5,3,14.095642,624.03
32768,32768,4096,128,256,64,2,4,3,1,True,False,5,3,13.843980,635.37
32768,32768,4096,128,256,64,2,8,3,2,False,True,5,3,17.947430,490.10
32768,32768,4096,128,256,64,2,8,3,1,False,True,5,3,14.048813,626.11
32768,32768,4096,128,256,64,2,4,3,1,True,True,5,3,100.768549,87.29
32768,32768,4096,128,256,64,2,8,4,2,False,False,5,3,16.939923,519.25
32768,32768,4096,128,256,64,2,8,4,2,False,True,5,3,16.743948,525.33
32768,32768,4096,128,256,64,2,8,5,2,False,False,5,3,20.935277,420.16
32768,32768,4096,128,256,64,2,8,5,2,False,True,5,3,22.998804,382.46
32768,32768,4096,128,256,64,4,8,3,2,False,False,5,3,18.362617,479.02
32768,32768,4096,128,256,64,4,8,3,1,False,False,5,3,12.646003,695.56
32768,32768,4096,128,256,64,4,4,3,1,True,False,5,3,11.954016,735.83
32768,32768,4096,128,256,64,4,8,3,2,False,True,5,3,18.178426,483.88
32768,32768,4096,128,256,64,4,8,3,1,False,True,5,3,12.153101,723.77
